Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Wochentag;Unfallstunde;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.565094543057434, 7.58306316660775;"{""coordinates"": [7.58306316660775, 47.565094543057434], ""type"": ""Point""}";1758;Parkierunfall;1 Unfall mit Sachschaden;2012;11;6 Samstag;;Nebenstrasse;false;false;false
47.5591953463022, 7.596413592074886;"{""coordinates"": [7.596413592074886, 47.5591953463022], ""type"": ""Point""}";1764;Parkierunfall;1 Unfall mit Sachschaden;2012;11;1 Montag;16;Nebenstrasse;false;false;false
47.57069308848046, 7.579410395243853;"{""coordinates"": [7.579410395243853, 47.57069308848046], ""type"": ""Point""}";1765;Auffahrunfall;2 Unfall mit Leichtverletzten;2012;11;1 Montag;17;Nebenstrasse;false;false;false
47.56045072446455, 7.562243227049451;"{""coordinates"": [7.562243227049451, 47.56045072446455], ""type"": ""Point""}";1786;Parkierunfall;1 Unfall mit Sachschaden;2012;12;1 Montag;23;Nebenstrasse;false;false;false
47.56008070574918, 7.6125730555859015;"{""coordinates"": [7.612573055585901, 47.56008070574918], ""type"": ""Point""}";1505;Auffahrunfall;1 Unfall mit Sachschaden;2012;8;3 Mittwoch;13;Autobahn;false;false;false
47.54908231484565, 7.605775590251817;"{""coordinates"": [7.605775590251817, 47.54908231484565], ""type"": ""Point""}";1510;Parkierunfall;1 Unfall mit Sachschaden;2012;8;5 Freitag;;Nebenstrasse;false;false;false
47.5519300458158, 7.5656111678749705;"{""coordinates"": [7.56561116787497, 47.5519300458158], ""type"": ""Point""}";1514;Tierunfall;3 Unfall mit Schwerverletzten;2012;8;2 Dienstag;9;Hauptstrasse;false;false;true
47.5462112949197, 7.580129629687699;"{""coordinates"": [7.580129629687699, 47.5462112949197], ""type"": ""Point""}";1516;Parkierunfall;1 Unfall mit Sachschaden;2012;8;3 Mittwoch;;Nebenstrasse;false;false;false
47.58127340921829, 7.60394907188943;"{""coordinates"": [7.60394907188943, 47.58127340921829], ""type"": ""Point""}";1517;Frontalkollision;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;11;Nebenstrasse;false;false;false
47.54567145136408, 7.607319055014526;"{""coordinates"": [7.607319055014526, 47.54567145136408], ""type"": ""Point""}";1523;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;8;6 Samstag;0;Autobahn;false;false;false
47.55345316461337, 7.617945256382127;"{""coordinates"": [7.617945256382127, 47.55345316461337], ""type"": ""Point""}";1526;Fussgängerunfall;3 Unfall mit Schwerverletzten;2012;8;6 Samstag;12;Nebenstrasse;true;false;false
47.56042553908287, 7.604296398188;"{""coordinates"": [7.604296398188, 47.56042553908287], ""type"": ""Point""}";1535;Parkierunfall;1 Unfall mit Sachschaden;2012;8;2 Dienstag;;Nebenstrasse;false;false;false
47.58122727678653, 7.591627082424193;"{""coordinates"": [7.591627082424193, 47.58122727678653], ""type"": ""Point""}";1540;Parkierunfall;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;;Nebenstrasse;false;false;false
47.56919066638029, 7.587047700259483;"{""coordinates"": [7.587047700259483, 47.56919066638029], ""type"": ""Point""}";1541;Parkierunfall;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;;Nebenstrasse;false;false;false
47.546171222008034, 7.559805939645351;"{""coordinates"": [7.559805939645351, 47.546171222008034], ""type"": ""Point""}";1543;Fussgängerunfall;3 Unfall mit Schwerverletzten;2012;8;5 Freitag;15;Nebenstrasse;true;false;false
47.55878872557638, 7.604264745030914;"{""coordinates"": [7.604264745030914, 47.55878872557638], ""type"": ""Point""}";1554;Fussgängerunfall;3 Unfall mit Schwerverletzten;2012;9;4 Donnerstag;12;Nebenstrasse;true;false;false
47.56860536799399, 7.580388280296404;"{""coordinates"": [7.580388280296404, 47.56860536799399], ""type"": ""Point""}";1558;Parkierunfall;1 Unfall mit Sachschaden;2012;9;5 Freitag;;Nebenstrasse;false;false;false
47.561096916709815, 7.586586734759796;"{""coordinates"": [7.586586734759796, 47.561096916709815], ""type"": ""Point""}";1566;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2012;9;2 Dienstag;9;Nebenstrasse;false;true;false
47.56232889822877, 7.600249635771695;"{""coordinates"": [7.600249635771695, 47.56232889822877], ""type"": ""Point""}";1568;Auffahrunfall;2 Unfall mit Leichtverletzten;2012;9;4 Donnerstag;11;Nebenstrasse;false;true;false
47.54389249209066, 7.61813894211182;"{""coordinates"": [7.61813894211182, 47.54389249209066], ""type"": ""Point""}";1570;Auffahrunfall;3 Unfall mit Schwerverletzten;2012;9;5 Freitag;7;Autobahn;false;false;false
47.539918629402884, 7.605096094736142;"{""coordinates"": [7.605096094736142, 47.539918629402884], ""type"": ""Point""}";1573;Parkierunfall;1 Unfall mit Sachschaden;2012;9;6 Samstag;16;andere;false;false;false
47.547089043057156, 7.567764904352478;"{""coordinates"": [7.567764904352478, 47.547089043057156], ""type"": ""Point""}";1575;Parkierunfall;1 Unfall mit Sachschaden;2012;9;6 Samstag;;Nebenstrasse;false;false;false
47.5375578402749, 7.601861392975651;"{""coordinates"": [7.601861392975651, 47.5375578402749], ""type"": ""Point""}";1577;Parkierunfall;1 Unfall mit Sachschaden;2012;9;7 Sonntag;20;Nebenstrasse;false;false;false
47.568555037892715, 7.639138838705178;"{""coordinates"": [7.639138838705178, 47.568555037892715], ""type"": ""Point""}";1582;Überholunfall oder Fahrstreifenwechsel;2 Unfall mit Leichtverletzten;2012;9;2 Dienstag;14;Nebenstrasse;false;true;false
47.54599602355761, 7.612885807313046;"{""coordinates"": [7.612885807313046, 47.54599602355761], ""type"": ""Point""}";1588;Parkierunfall;1 Unfall mit Sachschaden;2012;9;3 Mittwoch;;Nebenstrasse;false;false;false
